#{"t_start": 1616435654.7412186, "env_id": null}
r,l,t
-0.857143,7,176.952327
-0.714286,13,177.068451
-0.904762,5,177.111849
-9.690476,14,177.226137
-0.761905,11,177.33099
-0.857143,7,177.393255
-0.809524,9,177.47828
-0.904762,5,177.522433
-0.714286,13,177.642815
-0.809524,9,177.722438
-0.761905,11,177.818937
-9.714286,13,177.921442
-0.904762,5,177.961278
-0.738095,12,178.082396
-0.809524,9,178.163961
-9.619048,17,178.317629
-9.714286,13,178.608075
-0.857143,7,178.669716
-0.857143,7,178.731435
-0.738095,12,178.83587
-9.642857,16,178.965343
-0.714286,13,179.081905
-0.761905,11,179.18705
-0.857143,7,179.250906
-0.857143,7,179.314366
-0.833333,8,179.390502
-0.785714,10,179.482911
-0.857143,7,179.546658
-0.904762,5,179.591505
-0.857143,7,179.656321
-0.809524,9,179.744948
-0.714286,13,179.874661
-0.714286,13,179.993373
-0.904762,5,180.033879
-0.880952,6,180.083563
-0.785714,10,180.179862
-0.857143,7,180.243316
-9.738095,12,180.353392
-0.928571,4,180.394164
-0.833333,8,180.470246
-0.738095,12,180.581647
-0.761905,11,180.686148
-9.738095,12,180.787075
-0.904762,5,180.829651
-9.714286,13,181.08893
-0.904762,5,181.129717
-0.761905,11,181.223076
-0.833333,8,181.292535
-9.571429,19,181.432131
-0.928571,4,181.466988
-9.785714,10,181.546995
-0.928571,4,181.581776
-0.809524,9,181.654094
-0.833333,8,181.720001
-0.785714,10,181.806714
-0.738095,12,181.922733
-0.714286,13,182.031786
-0.833333,8,182.100914
-0.880952,6,182.155918
-0.904762,5,182.199969
-0.833333,8,182.276206
-9.738095,12,182.373303
-0.785714,10,182.462167
-0.809524,9,182.546595
-0.809524,9,182.623836
-0.785714,10,182.709911
-0.785714,10,182.795259
-0.857143,7,182.859192
-0.785714,10,182.943139
-0.785714,10,183.030475
-0.761905,11,183.121437
-0.880952,6,183.173496
-0.761905,11,183.419251
-0.761905,11,183.514616
-9.809524,9,183.582298
1.238095,11,183.672645
-0.714286,13,183.783644
-0.833333,8,183.856347
1.166667,8,183.917921
-0.738095,12,184.019688
-0.809524,9,184.097038
-0.833333,8,184.16712
-0.880952,6,184.21869
-0.785714,10,184.307122
-0.857143,7,184.365706
-0.738095,12,184.474064
-0.928571,4,184.50533
-0.690476,14,184.625552
-0.833333,8,184.695764
-0.833333,8,184.762666
-0.857143,7,184.822444
-0.809524,9,184.898573
-9.642857,16,185.02715
-9.761905,11,185.117733
-0.833333,8,185.183154
-9.761905,11,185.270362
-0.738095,12,185.368859
-9.761905,11,185.454868
-0.857143,7,185.51158
-0.738095,12,185.772251
-0.738095,12,185.870983
-0.809524,9,185.948254
-0.809524,9,186.026915
-0.666667,15,186.150906
-0.785714,10,186.239961
-0.785714,10,186.324762
-0.833333,8,186.39702
-0.809524,9,186.469293
-0.809524,9,186.549957
-0.738095,12,186.651713
-9.809524,9,186.726537
-0.904762,5,186.769074
-0.880952,6,186.820503
-0.714286,13,186.926649
-0.857143,7,186.993612
-0.880952,6,187.047634
-0.809524,9,187.121867
-0.785714,10,187.209713
-0.738095,12,187.310646
-0.738095,12,187.411652
-0.833333,8,187.478875
-0.928571,4,187.512613
-0.761905,11,187.604678
-0.785714,10,187.693252
-0.809524,9,187.769939
-0.738095,12,187.874201
1.214286,10,188.104779
-0.738095,12,188.207718
-0.761905,11,188.302333
1.238095,11,188.389993
-0.690476,14,188.509913
-0.714286,13,188.615392
-0.785714,10,188.698727
1.214286,10,188.781664
-0.690476,14,188.897567
-0.761905,11,188.992159
-0.833333,8,189.059044
-0.857143,7,189.120368
-0.857143,7,189.183097
-0.857143,7,189.239676
-0.928571,4,189.275973
-0.785714,10,189.360649
-0.761905,11,189.458337
-0.761905,11,189.547237
-0.857143,7,189.614712
-0.833333,8,189.680043
-0.904762,5,189.726779
-0.857143,7,189.793114
-0.857143,7,189.850279
1.285714,13,189.957898
-0.904762,5,190.000404
-0.904762,5,190.040861
-0.738095,12,190.146677
-0.880952,6,190.194851
-0.761905,11,190.445848
-0.857143,7,190.502558
-0.785714,10,190.586962
-0.904762,5,190.628306
1.238095,11,190.715202
-9.547619,20,190.863088
-0.857143,7,190.918596
-0.928571,4,190.952503
-0.880952,6,191.002372
-0.761905,11,191.096054
-0.714286,13,191.202859
-0.833333,8,191.266422
-9.714286,13,191.372263
-0.761905,11,191.462682
-0.785714,10,191.54578
-9.761905,11,191.631475
-9.714286,13,191.735902
-0.809524,9,191.811547
-9.642857,16,191.944108
-0.857143,7,192.000648
-0.738095,12,192.107387
-0.761905,11,192.2025
-0.857143,7,192.265542
-0.761905,11,192.358518
-0.857143,7,192.420669
-9.738095,12,192.669888
-9.738095,12,192.772405
-0.714286,13,192.884116
-9.642857,16,193.022265
-0.833333,8,193.098475
-9.690476,14,193.214135
-0.880952,6,193.264649
-9.785714,10,193.350564
-0.666667,15,193.485002
-0.809524,9,193.558931
-9.761905,11,193.645705
-0.857143,7,193.70504
-9.714286,13,193.808844
-0.833333,8,193.874465
-0.857143,7,193.936741
-0.738095,12,194.03351
-0.690476,14,194.154888
-0.904762,5,194.19436
-0.857143,7,194.255838
-0.880952,6,194.30272
-0.880952,6,194.35345
-0.857143,7,194.411445
-0.785714,10,194.492377
-0.761905,11,194.586326
-0.785714,10,194.672797
-0.809524,9,194.751597
-0.857143,7,194.961308
-9.761905,11,195.053447
-0.785714,10,195.135467
-0.904762,5,195.181603
-0.738095,12,195.290659
-0.880952,6,195.349722
-0.880952,6,195.400107
-0.880952,6,195.453296
-0.761905,11,195.543022
-0.833333,8,195.610572
-0.928571,4,195.645445
-0.880952,6,195.702452
-0.928571,4,195.739127
-0.738095,12,195.861213
-9.761905,11,195.957969
-0.809524,9,196.042628
-0.857143,7,196.108925
-0.928571,4,196.145882
-0.738095,12,196.259408
-0.904762,5,196.307228
1.071429,4,196.340168
-0.833333,8,196.415585
-0.714286,13,196.530361
-9.738095,12,196.640654
-0.761905,11,196.745436
-9.857143,7,196.803513
-0.738095,12,196.908144
-0.857143,7,196.977515
-0.738095,12,197.080346
-0.904762,5,197.133158
-0.904762,5,197.179214
-9.714286,13,197.472312
-0.785714,10,197.561267
-0.857143,7,197.632127
-0.809524,9,197.707556
-0.761905,11,197.802838
-0.904762,5,197.860272
-0.809524,9,197.935934
-0.619048,17,198.080401
-0.904762,5,198.129051
1.333333,15,198.253729
-0.761905,11,198.348977
-9.619048,17,198.496343
-0.761905,11,198.593479
-0.785714,10,198.6824
-0.738095,12,198.793198
-0.904762,5,198.835105
-0.690476,14,198.961378
-0.785714,10,199.045848
-0.857143,7,199.109112
-0.738095,12,199.225839
-0.833333,8,199.294155
-0.809524,9,199.374517
-0.833333,8,199.442246
-0.761905,11,199.541464
-0.809524,9,199.625561
-0.809524,9,199.714525
-0.857143,7,199.95771
-0.785714,10,200.064499
-0.714286,13,200.194257
-0.714286,13,200.316588
-0.809524,9,200.400178
-0.809524,9,200.482573
-0.904762,5,200.526477
-0.666667,15,200.657604
-0.833333,8,200.725732
-0.785714,10,200.817134
-0.785714,10,200.904755
-0.785714,10,200.995807
-0.761905,11,201.095879
-0.833333,8,201.165143
-0.833333,8,201.238674
-0.666667,15,201.371441
-0.857143,7,201.439006
-0.833333,8,201.514462
-9.761905,11,201.610355
-0.833333,8,201.679994
-0.809524,9,201.757999
-0.761905,11,201.854169
-0.785714,10,201.946251
-0.880952,6,202.00373
-0.833333,8,202.074954
-0.738095,12,202.187187
-0.904762,5,202.229891
-0.857143,7,202.461696
-0.809524,9,202.541701
-0.785714,10,202.634011
-0.833333,8,202.706568
-0.904762,5,202.752759
-0.738095,12,202.864599
-0.809524,9,202.946957
-0.857143,7,203.012217
-0.904762,5,203.059537
-0.738095,12,203.169387
-9.690476,14,203.294766
-0.833333,8,203.366589
-0.809524,9,203.446565
-9.738095,12,203.54888
-0.857143,7,203.60925
-0.904762,5,203.653535
-0.785714,10,203.741054
-0.809524,9,203.818138
-0.904762,5,203.864466
-0.809524,9,203.947254
-0.833333,8,204.017388
-0.880952,6,204.067946
-0.857143,7,204.133087
-0.785714,10,204.223273
-0.714286,13,204.345371
-0.928571,4,204.378326
1.166667,8,204.445705
-0.809524,9,204.525903
-0.833333,8,204.591014
-0.904762,5,204.635089
-0.809524,9,204.870109
-0.761905,11,204.96124
-0.833333,8,205.029167
-0.857143,7,205.089247
-0.761905,11,205.191226
-9.833333,8,205.254497
1.071429,4,205.285926
-0.738095,12,205.387672
-0.857143,7,205.445802
-0.761905,11,205.539362
-0.904762,5,205.581865
-0.833333,8,205.648729
-0.904762,5,205.691756
-9.690476,14,205.808646
-0.809524,9,205.892334
-0.880952,6,205.943968
-9.738095,12,206.041265
-0.809524,9,206.127628
-0.880952,6,206.177306
-9.690476,14,206.303618
-0.666667,15,206.444267
-0.857143,7,206.513177
-0.714286,13,206.62857
-0.904762,5,206.671494
-0.833333,8,206.744671
-0.761905,11,206.840478
-0.833333,8,206.914957
-0.809524,9,206.996639
-0.738095,12,207.293925
-0.690476,14,207.432868
-0.761905,11,207.529971
-0.738095,12,207.647539
-0.642857,16,207.795295
-0.833333,8,207.867052
-0.809524,9,207.952157
-0.928571,4,207.990192
-9.571429,19,208.158875
-0.833333,8,208.229334
-0.857143,7,208.293758
-0.857143,7,208.360174
-0.857143,7,208.421908
-0.809524,9,208.509452
1.261905,12,208.607718
-9.690476,14,208.719563
-0.809524,9,208.795535
-0.833333,8,208.86333
-0.809524,9,208.939023
-0.809524,9,209.017636
-0.904762,5,209.063801
-0.857143,7,209.124318
-0.738095,12,209.232353
-0.857143,7,209.296806
-0.666667,15,209.425958
-9.619048,17,209.559622
-0.833333,8,209.796007
-0.761905,11,209.888631
-0.833333,8,209.956821
-9.690476,14,210.068192
-0.785714,10,210.15123
-0.761905,11,210.243539
-9.690476,14,210.354225
-0.738095,12,210.458434
-0.833333,8,210.521274
-0.761905,11,210.613548
-0.809524,9,210.689913
-0.666667,15,210.811383
-0.928571,4,210.841401
-9.642857,16,210.968786
-0.738095,12,211.074687
-9.666667,15,211.198541
-0.690476,14,211.318329
-0.785714,10,211.412592
-9.690476,14,211.527884
1.238095,11,211.623953
-0.785714,10,211.713068
-0.809524,9,211.791936
-0.857143,7,211.851135
-0.928571,4,212.052537
-0.904762,5,212.109292
-0.928571,4,212.141015
-0.809524,9,212.218458
-0.761905,11,212.313458
-0.761905,11,212.411005
-0.761905,11,212.499562
-0.690476,14,212.616533
-0.904762,5,212.656633
-0.738095,12,212.759411
-0.833333,8,212.827937
-0.738095,12,212.935903
-0.785714,10,213.053163
-9.714286,13,213.188624
-0.809524,9,213.263152
-0.809524,9,213.342178
-0.785714,10,213.434055
-0.785714,10,213.522102
-9.761905,11,213.609619
-9.738095,12,213.706604
-0.714286,13,213.813907
-0.666667,15,213.936016
-0.809524,9,214.01422
-0.833333,8,214.083089
-0.833333,8,214.153155
-0.857143,7,214.209717
-0.714286,13,214.476897
-0.666667,15,214.603314
-0.785714,10,214.699211
-0.690476,14,214.81869
-0.833333,8,214.883701
-0.880952,6,214.934129
-9.714286,13,215.038091
-0.857143,7,215.094576
-0.833333,8,215.163396
-0.785714,10,215.24737
-0.738095,12,215.352943
-0.761905,11,215.447327
-0.809524,9,215.522847
-0.690476,14,215.636873
-0.785714,10,215.71841
-0.880952,6,215.772424
-0.690476,14,215.888979
-0.666667,15,216.019303
-0.714286,13,216.131145
-0.857143,7,216.194271
-0.761905,11,216.280936
-0.785714,10,216.370103
-0.857143,7,216.432179
-0.785714,10,216.51707
-0.785714,10,216.604273
-0.809524,9,216.868459
-0.809524,9,216.962875
-9.690476,14,217.136489
-0.761905,11,217.231219
-0.833333,8,217.301115
-0.761905,11,217.390615
-0.738095,12,217.494939
-0.809524,9,217.570467
1.285714,13,217.669936
-0.738095,12,217.776055
-0.857143,7,217.833534
-0.761905,11,217.926168
-0.761905,11,218.014868
-0.857143,7,218.075756
-0.833333,8,218.140946
-0.833333,8,218.213413
-0.833333,8,218.277416
-0.690476,14,218.401346
-0.809524,9,218.477061
1.071429,4,218.508619
-9.690476,14,218.619184
-0.714286,13,218.73022
-0.928571,4,218.761236
-0.904762,5,218.802111
-0.857143,7,218.866568
-0.809524,9,218.944122
-0.880952,6,218.9943
-0.714286,13,219.267826
-0.880952,6,219.317834
-0.714286,13,219.426386
-0.857143,7,219.487524
-0.761905,11,219.58284
-0.904762,5,219.625093
-0.738095,12,219.725189
-0.857143,7,219.782868
-0.857143,7,219.841331
-0.785714,10,219.931837
-0.809524,9,220.006463
-0.833333,8,220.07847
-9.738095,12,220.174747
-0.857143,7,220.233155
-9.738095,12,220.334145
-0.738095,12,220.435924
-0.880952,6,220.488939
-0.809524,9,220.572213
1.190476,9,220.641655
-9.761905,11,220.729731
-0.761905,11,220.822207
-9.666667,15,220.938896
-0.761905,11,221.031648
-0.833333,8,221.098885
-0.904762,5,221.137663
1.261905,12,221.237699
-0.761905,11,221.337945
-0.761905,11,221.594945
-0.857143,7,221.739898
-0.857143,7,221.801074
-9.666667,15,221.923797
-9.785714,10,222.009668
-0.857143,7,222.071971
-0.833333,8,222.137048
-0.833333,8,222.210006
-0.785714,10,222.298549
1.285714,13,222.407192
-0.904762,5,222.45146
-0.857143,7,222.509659
-0.666667,15,222.642169
-0.833333,8,222.713998
-0.833333,8,222.787251
-9.666667,15,222.911688
-0.904762,5,222.949367
-0.809524,9,223.022962
-0.690476,14,223.141932
-9.738095,12,223.245869
-9.761905,11,223.334251
-0.785714,10,223.42277
-9.785714,10,223.505716
-9.761905,11,223.593098
1.095238,5,223.63031
-0.928571,4,223.663961
-0.714286,13,223.775069
-0.785714,10,224.031233
-0.714286,13,224.138783
1.357143,16,224.272678
-0.833333,8,224.340244
-0.785714,10,224.417865
-0.833333,8,224.486571
-0.833333,8,224.558619
-0.904762,5,224.598562
-0.690476,14,224.713408
-0.880952,6,224.765905
1.238095,11,224.856156
-0.880952,6,224.906418
-0.833333,8,224.973533
-0.761905,11,225.062218
-0.833333,8,225.135534
-0.833333,8,225.201826
-0.785714,10,225.295043
-0.714286,13,225.401016
-0.880952,6,225.452834
-0.833333,8,225.521466
-0.833333,8,225.592116
-0.714286,13,225.701384
-0.785714,10,225.789253
-9.690476,14,225.899062
1.238095,11,225.98874
-0.785714,10,226.076676
-9.880952,6,226.278918
-0.904762,5,226.324749
-0.738095,12,226.427729
-0.761905,11,226.519311
-0.833333,8,226.585186
-0.857143,7,226.641792
1.214286,10,226.724233
-9.666667,15,226.847697
-0.833333,8,226.915918
-9.761905,11,227.007119
-0.738095,12,227.110089
-0.809524,9,227.183982
-0.809524,9,227.260383
-0.833333,8,227.325846
-0.904762,5,227.366255
-0.904762,5,227.410392
-0.809524,9,227.493667
-0.809524,9,227.580673
-0.857143,7,227.650306
-0.857143,7,227.712147
-9.690476,14,227.824554
-0.857143,7,227.882363
-0.809524,9,227.96357
-0.785714,10,228.051554
-9.714286,13,228.161616
-0.690476,14,228.283028
-0.904762,5,228.327497
-0.785714,10,228.413021
-0.738095,12,228.671961
-0.690476,14,228.792566
-0.714286,13,228.90084
-0.785714,10,228.984554
-0.785714,10,229.070234
-9.833333,8,229.135437
-0.880952,6,229.184623
-0.928571,4,229.219123
-9.714286,13,229.320145
-0.761905,11,229.414717
-0.833333,8,229.479176
-0.904762,5,229.520187
-0.833333,8,229.589626
-0.880952,6,229.635887
-0.928571,4,229.669622
-0.809524,9,229.74638
-0.880952,6,229.798059
-9.809524,9,229.87492
-9.666667,15,229.994482
-0.904762,5,230.040191
-0.809524,9,230.122241
-0.738095,12,230.220857
-0.880952,6,230.271475
-9.761905,11,230.360502
-9.738095,12,230.46135
-0.785714,10,230.548796
-0.880952,6,230.603537
-0.809524,9,230.676086
-0.738095,12,230.94139
-0.785714,10,231.026834
-0.857143,7,231.083313
1.238095,11,231.171076
-0.857143,7,231.235346
-0.809524,9,231.313716
-0.809524,9,231.396849
-0.809524,9,231.471242
-9.738095,12,231.571698
-0.785714,10,231.661924
-0.809524,9,231.735912
-0.809524,9,231.810652
-0.833333,8,231.884758
-0.690476,14,232.002045
-0.761905,11,232.098743
1.214286,10,232.182384
-9.857143,7,232.235666
1.214286,10,232.318717
-0.785714,10,232.409209
-0.857143,7,232.468939
-0.714286,13,232.585196
-0.714286,13,232.697576
-0.833333,8,232.768499
-0.690476,14,232.886619
-0.761905,11,232.979835
-0.833333,8,233.045582
-0.857143,7,233.10349
-0.857143,7,233.328616
-9.785714,10,233.412484
-0.857143,7,233.469222
-9.690476,14,233.582226
-0.785714,10,233.66729
-0.928571,4,233.703275
-0.833333,8,233.770557
-0.833333,8,233.84056
-0.833333,8,233.909507
-0.904762,5,233.955428
-9.761905,11,234.047378
-9.761905,11,234.131587
-0.857143,7,234.194445
-0.785714,10,234.276045
-0.857143,7,234.34024
-0.809524,9,234.411175
-0.809524,9,234.489553
-0.857143,7,234.546006
-0.714286,13,234.655392
-0.619048,17,234.793384
-0.880952,6,234.841563
-0.928571,4,234.874761
-0.738095,12,234.984679
-0.857143,7,235.048203
-0.857143,7,235.110764
-9.642857,16,235.243757
-0.690476,14,235.36093
-0.904762,5,235.400433
1.238095,11,235.646773
-0.738095,12,235.745327
-0.809524,9,235.822837
-0.785714,10,235.905399
-0.690476,14,236.028459
-0.761905,11,236.130908
-0.809524,9,236.201232
-0.785714,10,236.296431
-0.642857,16,236.424886
-0.714286,13,236.537866
-0.928571,4,236.574116
-0.761905,11,236.669259
-0.761905,11,236.759507
-0.809524,9,236.834818
-9.666667,15,236.964442
-0.904762,5,237.003452
-0.761905,11,237.100461
-0.738095,12,237.198849
-0.714286,13,237.306558
-9.738095,12,237.407707
-0.785714,10,237.492186
-0.785714,10,237.578666
-0.690476,14,237.702063
-0.809524,9,237.936157
-0.857143,7,237.994331
-0.761905,11,238.089574
-0.809524,9,238.174296
-9.738095,12,238.278063
-0.761905,11,238.376797
-0.833333,8,238.44456
-0.809524,9,238.520219
-0.738095,12,238.618282
-0.738095,12,238.72689
-0.880952,6,238.785324
-0.809524,9,238.873777
-0.833333,8,238.95803
-0.928571,4,238.992164
-0.809524,9,239.07618
-9.833333,8,239.149125
-0.761905,11,239.250459
-0.833333,8,239.318592
-0.785714,10,239.401634
-0.857143,7,239.468512
-0.904762,5,239.515157
-0.666667,15,239.63218
-0.833333,8,239.700134
-0.761905,11,239.788489
-0.857143,7,239.843661
-0.809524,9,239.919855
-0.738095,12,240.034396
-0.690476,14,240.160157
-0.738095,12,240.44046
-0.738095,12,240.548976
-0.928571,4,240.587384
-0.785714,10,240.693438
-0.928571,4,240.735374
-0.761905,11,240.847887
-0.833333,8,240.923785
-0.928571,4,240.961158
-0.785714,10,241.061002
-9.642857,16,241.195187
-0.928571,4,241.227675
-0.833333,8,241.301808
-0.785714,10,241.393488
-9.833333,8,241.460996
-0.880952,6,241.514691
-0.761905,11,241.605486
-0.738095,12,241.71293
-0.761905,11,241.813698
-0.833333,8,241.889564
1.261905,12,242.002637
-0.833333,8,242.07415
-0.714286,13,242.194822
1.261905,12,242.307147
-0.690476,14,242.42774
-0.833333,8,242.498775
-0.738095,12,242.606951
-9.666667,15,242.896644
-0.833333,8,242.966994
-0.738095,12,243.073458
-0.690476,14,243.194964
-0.690476,14,243.316502
1.190476,9,243.394396
-0.928571,4,243.43031
-0.738095,12,243.535072
-0.642857,16,243.679829
-9.738095,12,243.789495
1.333333,15,243.922007
-0.880952,6,243.977175
-0.714286,13,244.095871
-0.714286,13,244.202253
-0.785714,10,244.287267
-0.785714,10,244.380271
-0.785714,10,244.463749
-9.761905,11,244.553821
-0.809524,9,244.629541
-0.642857,16,244.767914
-0.833333,8,244.838687
1.214286,10,244.920734
-0.928571,4,244.956326
-0.761905,11,245.053092
-0.928571,4,245.086719
-0.833333,8,245.330677
-0.928571,4,245.369255
-0.833333,8,245.442471
-0.928571,4,245.479529
-9.666667,15,245.60486
1.071429,4,245.634918
-0.928571,4,245.67213
-0.809524,9,245.746654
-0.904762,5,245.79239
-0.809524,9,245.869701
-0.857143,7,245.932026
-0.833333,8,246.00333
-0.809524,9,246.077994
-0.833333,8,246.15052
-0.880952,6,246.203916
-0.714286,13,246.321187
-9.738095,12,246.419175
-9.714286,13,246.527596
-0.809524,9,246.614114
1.285714,13,246.719221
-9.714286,13,246.828041
-0.857143,7,246.890706
-0.761905,11,246.98608
-0.833333,8,247.061122
1.071429,4,247.092072
-0.738095,12,247.194832
-0.857143,7,247.264052
-0.880952,6,247.32107
-0.880952,6,247.38036
-0.833333,8,247.449917
-0.857143,7,247.668302
-0.904762,5,247.712887
-0.880952,6,247.76317
-0.785714,10,247.847668
-0.833333,8,247.916135
-9.833333,8,247.97787
-0.761905,11,248.073277
-0.833333,8,248.146785
-0.833333,8,248.215739
-0.809524,9,248.297581
-9.666667,15,248.419313
-0.904762,5,248.469783
-0.761905,11,248.560016
-0.880952,6,248.616143
-0.738095,12,248.716063
-0.761905,11,248.822832
-0.880952,6,248.873978
-0.833333,8,248.941054
-0.833333,8,249.008005
-0.738095,12,249.116064
-0.785714,10,249.195116
-0.857143,7,249.265025
-0.785714,10,249.352055
-9.690476,14,249.470412
-0.714286,13,249.587818
-0.738095,12,249.696449
-0.809524,9,249.784405
-0.857143,7,249.842452
-0.904762,5,249.889608
-0.714286,13,250.182563
-0.809524,9,250.261952
-0.928571,4,250.298073
-0.738095,12,250.408331
-0.714286,13,250.524102
-0.928571,4,250.560102
-0.880952,6,250.612243
-0.904762,5,250.657752
-0.809524,9,250.734588
-0.904762,5,250.775742
-0.738095,12,250.881841
-9.714286,13,250.989722
-9.761905,11,251.092494
-0.809524,9,251.171335
-0.880952,6,251.221513
-0.761905,11,251.319205
-0.785714,10,251.409225
-0.809524,9,251.488181
-0.809524,9,251.575511
-0.857143,7,251.638712
-0.880952,6,251.696551
-0.738095,12,251.80705
-0.714286,13,251.919595
-0.904762,5,251.967238
-0.833333,8,252.037892
-9.690476,14,252.153689
-9.642857,16,252.286695
-0.714286,13,252.566039
-0.809524,9,252.643075
-9.761905,11,252.739444
-0.833333,8,252.808005
-0.714286,13,252.921804
-0.738095,12,253.023196
-0.904762,5,253.062426
-0.833333,8,253.1334
-0.809524,9,253.21701
-0.785714,10,253.311018
-0.833333,8,253.380934
-0.880952,6,253.433628
-0.833333,8,253.507995
-9.738095,12,253.607429
-0.761905,11,253.704925
-0.928571,4,253.744378
-0.809524,9,253.8276
-0.880952,6,253.878246
-0.880952,6,253.933301
-0.666667,15,254.062607
-0.880952,6,254.1173
-0.785714,10,254.201813
-0.738095,12,254.30747
-0.857143,7,254.371557
-0.785714,10,254.464354
-0.857143,7,254.520165
-0.761905,11,254.621664
-0.857143,7,254.68306
-0.785714,10,254.930043
-0.833333,8,255.006197
-0.857143,7,255.065352
1.285714,13,255.175536
-0.785714,10,255.267185
-0.738095,12,255.374241
-0.738095,12,255.477899
-0.880952,6,255.528213
-0.904762,5,255.5691
-0.714286,13,255.686099
-0.714286,13,255.798178
-0.809524,9,255.875205
-0.928571,4,255.911679
-0.809524,9,255.993838
-0.714286,13,256.11211
-0.690476,14,256.232993
-0.880952,6,256.289815
-0.928571,4,256.326553
-0.761905,11,256.425112
-0.690476,14,256.550022
-9.809524,9,256.626395
-0.714286,13,256.743297
-0.785714,10,256.833002
-0.761905,11,256.939158
-0.833333,8,257.007821
-0.809524,9,257.08983
-0.904762,5,257.133351
-0.928571,4,257.165657
-9.619048,17,257.492442
-9.714286,13,257.602002
-0.761905,11,257.697429
-0.928571,4,257.73305
-0.809524,9,257.813453
-0.928571,4,257.850742
-0.761905,11,257.947556
-0.738095,12,258.047062
-0.714286,13,258.165392
-0.690476,14,258.288089
-0.904762,5,258.332797
-0.761905,11,258.430627
-0.904762,5,258.475271
-0.904762,5,258.519333
-0.761905,11,258.626434
-0.857143,7,258.690417
-0.785714,10,258.787157
-0.833333,8,258.855174
-0.785714,10,258.946096
-0.857143,7,259.011476
-0.785714,10,259.101561
-0.809524,9,259.182816
-0.738095,12,259.289018
-0.833333,8,259.357558
-0.666667,15,259.49202
-0.809524,9,259.577339
-0.809524,9,259.658235
-0.928571,4,259.882796
-0.928571,4,259.921412
-0.738095,12,260.027596
-0.785714,10,260.121526
-0.738095,12,260.22396
-0.761905,11,260.321913
-0.880952,6,260.381269
-0.809524,9,260.466856
-0.880952,6,260.517689
-0.761905,11,260.617069
-0.690476,14,260.751217
-9.714286,13,260.860135
1.190476,9,260.933094
-0.785714,10,261.019235
-0.690476,14,261.142587
-9.809524,9,261.217159
-9.738095,12,261.316059
-0.833333,8,261.387125
1.261905,12,261.492929
-0.833333,8,261.562232
-0.857143,7,261.632097
-0.904762,5,261.677443
-0.833333,8,261.751949
-0.833333,8,261.826984
-0.880952,6,261.880284
-9.714286,13,261.98951
-0.833333,8,262.06155
-0.833333,8,262.311887
-9.785714,10,262.393818
-0.833333,8,262.467098
-0.928571,4,262.504752
-0.880952,6,262.563831
-0.833333,8,262.634155
-0.619048,17,262.777981
-0.785714,10,262.874856
-0.928571,4,262.908565
-0.833333,8,262.986959
-0.880952,6,263.043804
-0.904762,5,263.089746
-0.785714,10,263.187761
-9.714286,13,263.304534
-0.880952,6,263.354968
-0.809524,9,263.433383
-0.761905,11,263.536043
-0.809524,9,263.617947
-0.833333,8,263.69213
-0.809524,9,263.775013
-0.714286,13,263.886245
-0.880952,6,263.94317
1.238095,11,264.035038
-9.761905,11,264.126493
-0.642857,16,264.261039
-0.809524,9,264.343428
-0.785714,10,264.427206
-0.809524,9,264.502203
-0.761905,11,264.771044
-0.761905,11,264.86338
-0.904762,5,264.90397
-0.738095,12,265.0148
-0.809524,9,265.092249
-0.738095,12,265.192034
-0.904762,5,265.23429
-0.761905,11,265.33496
-0.642857,16,265.481298
-0.619048,17,265.62399
-0.928571,4,265.656508
-0.928571,4,265.694027
-9.642857,16,265.828802
-0.785714,10,265.914179
1.238095,11,266.011101
-0.738095,12,266.116087
-0.809524,9,266.1933
1.309524,14,266.313379
-0.809524,9,266.398885
-0.809524,9,266.481393
-0.857143,7,266.548814
-0.690476,14,266.66941
-0.738095,12,266.77255
-0.738095,12,266.876818
-0.761905,11,266.976336
-0.880952,6,267.192533
-0.857143,7,267.258296
-9.690476,14,267.381095
-0.761905,11,267.480217
-0.714286,13,267.598632
-0.904762,5,267.650943
-0.833333,8,267.720288
-0.666667,15,267.852553
-0.928571,4,267.891362
-0.690476,14,268.015114
-0.928571,4,268.046474
-0.880952,6,268.095959
-0.738095,12,268.202082
-0.785714,10,268.293099
-0.904762,5,268.335652
-0.904762,5,268.379906
-0.857143,7,268.440996
-0.642857,16,268.591826
-0.785714,10,268.680523
-9.738095,12,268.782571
-0.880952,6,268.832743
-9.642857,16,268.977804
-0.833333,8,269.052854
-0.761905,11,269.14945
-0.785714,10,269.243658
-9.761905,11,269.340912
-0.809524,9,269.426271
-0.928571,4,269.674659
-0.809524,9,269.756577
-0.714286,13,269.871689
-0.785714,10,269.957456
-0.928571,4,269.995766
-0.833333,8,270.068315
-0.880952,6,270.11899
-9.738095,12,270.219876
-0.738095,12,270.328596
-0.785714,10,270.417182
-0.928571,4,270.459515
-0.904762,5,270.505774
-0.809524,9,270.584349
-0.714286,13,270.707711
-0.690476,14,270.826191
-9.714286,13,270.934772
-0.857143,7,270.996145
-0.738095,12,271.100217
-0.880952,6,271.150407
-0.928571,4,271.182804
-0.738095,12,271.281018
-0.761905,11,271.380762
-0.857143,7,271.43932
-0.857143,7,271.495703
-0.833333,8,271.563532
-0.928571,4,271.59884
-9.880952,6,271.651704
-0.738095,12,271.76061
-0.904762,5,271.80428
-0.738095,12,271.911474
-9.547619,20,272.254026
-0.738095,12,272.357914
-0.761905,11,272.454988
-0.809524,9,272.532928
