#{"t_start": 1616435654.7412186, "env_id": null}
r,l,t
-9.738095,12,24.364617
-9.761905,11,24.442994
-9.785714,10,24.513585
-0.809524,9,24.578811
-0.857143,7,24.633194
-0.809524,9,24.702994
-0.809524,9,24.770956
-9.714286,13,24.863138
-9.666667,15,24.968012
-0.880952,6,25.013647
-0.904762,5,25.053854
-0.880952,6,25.09911
-9.690476,14,25.200056
-0.714286,13,25.29659
-0.714286,13,25.394968
-0.857143,7,25.446466
-9.690476,14,25.546236
-9.738095,12,25.632531
-0.690476,14,25.733777
1.261905,12,25.821263
-0.904762,5,25.860154
-9.833333,8,25.914216
-9.690476,14,26.013785
-9.761905,11,26.093314
-0.785714,10,26.167938
-9.761905,11,26.367731
-9.738095,12,26.452529
-9.857143,7,26.50009
-0.761905,11,26.580591
-0.880952,6,26.625405
-0.738095,12,26.713588
-0.857143,7,26.76811
-0.761905,11,26.854094
-0.857143,7,26.904398
-0.690476,14,27.008592
-0.690476,14,27.113847
-0.809524,9,27.18169
-0.857143,7,27.236766
-9.666667,15,27.340713
-0.761905,11,27.423349
-0.809524,9,27.490303
-9.809524,9,27.553545
-0.857143,7,27.606715
-9.785714,10,27.67764
-0.785714,10,27.75397
-0.809524,9,27.820975
-0.904762,5,27.85762
-0.928571,4,27.888894
-0.880952,6,27.93291
-0.880952,6,27.978887
-9.690476,14,28.080296
-0.785714,10,28.153882
-0.714286,13,28.372523
-0.714286,13,28.465654
-9.690476,14,28.566397
-0.714286,13,28.661943
-0.761905,11,28.742428
-0.809524,9,28.8123
-0.904762,5,28.848166
-0.714286,13,28.94602
-0.928571,4,28.976079
-0.833333,8,29.038182
-0.904762,5,29.075471
-0.642857,16,29.187708
-0.928571,4,29.217355
-0.809524,9,29.282613
-9.738095,12,29.368257
-9.666667,15,29.474883
-0.857143,7,29.528048
-0.880952,6,29.574998
-0.857143,7,29.628368
-0.761905,11,29.714164
-9.809524,9,29.777436
-0.666667,15,29.882199
-0.785714,10,29.958633
-9.619048,17,30.07811
-9.785714,10,30.147381
-0.833333,8,30.208979
-0.690476,14,30.43258
-0.904762,5,30.471176
-0.738095,12,30.560255
-0.738095,12,30.649579
-0.809524,9,30.715535
-0.785714,10,30.790609
-0.809524,9,30.856328
-0.880952,6,30.900248
-0.809524,9,30.971082
-0.880952,6,31.017651
-0.857143,7,31.068544
-0.857143,7,31.120133
-9.666667,15,31.226877
-9.714286,13,31.321423
-0.904762,5,31.358163
-0.833333,8,31.419838
-0.904762,5,31.455896
-0.761905,11,31.539794
-0.880952,6,31.585608
-0.833333,8,31.645009
-0.904762,5,31.683231
-0.880952,6,31.728328
-0.904762,5,31.769115
-0.928571,4,31.797652
-0.857143,7,31.850306
-0.785714,10,31.925542
-9.714286,13,32.018286
-0.738095,12,32.106676
-0.785714,10,32.180481
-0.714286,13,32.398848
-0.785714,10,32.474131
-0.857143,7,32.525137
-0.761905,11,32.608401
-0.928571,4,32.639208
-0.761905,11,32.72331
-0.857143,7,32.778566
-9.761905,11,32.857745
-0.785714,10,32.932467
-0.880952,6,32.976016
-0.714286,13,33.071595
-0.857143,7,33.122565
-0.785714,10,33.198548
-0.785714,10,33.274175
-0.928571,4,33.308025
-0.857143,7,33.362754
-0.690476,14,33.468758
-9.809524,9,33.529804
-9.785714,10,33.598827
-0.833333,8,33.658072
-0.904762,5,33.69603
-0.833333,8,33.755378
-0.880952,6,33.801492
-9.809524,9,33.862044
-0.833333,8,33.920335
-0.809524,9,33.988909
-0.738095,12,34.080764
-9.809524,9,34.14365
-0.785714,10,34.215305
-0.833333,8,34.400025
-0.880952,6,34.445913
-0.761905,11,34.528091
-0.880952,6,34.575065
-9.642857,16,34.683081
-9.785714,10,34.750756
-9.761905,11,34.829445
-9.666667,15,34.935372
-9.714286,13,35.029535
-0.904762,5,35.068271
-0.928571,4,35.09901
-9.761905,11,35.174703
-0.833333,8,35.235648
-9.619048,17,35.356626
-9.666667,15,35.463347
-0.809524,9,35.530304
-0.857143,7,35.582769
-0.880952,6,35.629781
-0.785714,10,35.709826
-0.738095,12,35.798235
-0.738095,12,35.889622
-0.833333,8,35.948405
-0.904762,5,35.983672
-0.880952,6,36.027275
-9.714286,13,36.117846
-0.833333,8,36.177112
-0.666667,15,36.402816
-0.833333,8,36.461579
-0.833333,8,36.521193
-0.714286,13,36.620638
-0.809524,9,36.688257
-0.904762,5,36.724327
-0.761905,11,36.808092
-0.619048,17,36.931829
-0.880952,6,36.976204
-0.833333,8,37.038986
-0.761905,11,37.119837
-0.833333,8,37.179197
-0.785714,10,37.254428
-0.833333,8,37.313893
1.285714,13,37.405926
-0.880952,6,37.4477
-0.785714,10,37.524767
-0.857143,7,37.576587
-0.714286,13,37.672856
-0.857143,7,37.728449
-0.809524,9,37.796553
-0.880952,6,37.844091
-0.833333,8,37.904151
-0.785714,10,37.979759
-0.880952,6,38.026314
-0.928571,4,38.057733
-0.833333,8,38.118556
-0.714286,13,38.214825
-0.738095,12,38.424736
-0.738095,12,38.513365
-0.738095,12,38.602697
-0.833333,8,38.661128
-9.738095,12,38.744861
-0.809524,9,38.814608
-0.833333,8,38.875561
-0.880952,6,38.920736
-0.785714,10,38.9979
-0.833333,8,39.058494
-9.833333,8,39.113424
-0.833333,8,39.171988
-0.857143,7,39.223583
-0.928571,4,39.253339
-0.714286,13,39.354621
1.238095,11,39.433559
-0.880952,6,39.479271
-0.785714,10,39.55508
-9.809524,9,39.622831
-0.880952,6,39.678728
-9.714286,13,39.803596
-0.785714,10,39.894359
-0.833333,8,39.966148
-0.738095,12,40.075755
-0.904762,5,40.121123
-0.880952,6,40.172663
-0.690476,14,40.298476
-0.809524,9,40.381832
-0.857143,7,40.447252
-0.785714,10,40.654643
-0.904762,5,40.693851
-0.809524,9,40.77248
-0.690476,14,40.880526
-0.785714,10,40.955926
-0.690476,14,41.069554
-0.833333,8,41.132117
-0.714286,13,41.235624
-0.857143,7,41.294324
-0.833333,8,41.359389
-0.809524,9,41.427011
-0.666667,15,41.533533
-0.833333,8,41.595986
-0.714286,13,41.69063
-0.738095,12,41.783083
-0.761905,11,41.86628
-9.738095,12,41.948565
-0.785714,10,42.027292
-9.761905,11,42.107774
-0.857143,7,42.160645
-9.714286,13,42.257564
-0.809524,9,42.329158
-0.928571,4,42.358803
-0.833333,8,42.417537
-0.738095,12,42.507538
-0.738095,12,42.721173
-0.761905,11,42.816414
-0.880952,6,42.872846
-0.880952,6,42.927104
-0.785714,10,43.003955
-0.809524,9,43.069793
-0.904762,5,43.106299
-0.857143,7,43.157221
-0.857143,7,43.210505
-9.761905,11,43.288189
-0.761905,11,43.371383
-9.761905,11,43.449023
-0.785714,10,43.533807
-0.809524,9,43.605397
-0.928571,4,43.63318
-0.833333,8,43.693804
-0.785714,10,43.771096
-0.904762,5,43.810647
-0.928571,4,43.842999
-0.785714,10,43.918173
-9.761905,11,43.995322
-9.714286,13,44.087695
-0.928571,4,44.116538
-0.833333,8,44.185736
-0.761905,11,44.276803
-0.761905,11,44.36659
-0.857143,7,44.421882
-0.761905,11,44.503024
-0.880952,6,44.549766
-0.857143,7,44.60622
-0.809524,9,44.808159
-0.880952,6,44.859463
-0.714286,13,44.967409
-9.857143,7,45.020072
-9.714286,13,45.1137
-0.785714,10,45.189797
-0.928571,4,45.220965
-0.833333,8,45.282789
-0.714286,13,45.375625
-0.809524,9,45.441667
-0.833333,8,45.502138
-9.761905,11,45.580269
-0.928571,4,45.610373
-0.833333,8,45.674671
-9.857143,7,45.730185
-0.785714,10,45.819142
-9.833333,8,45.88033
-0.761905,11,45.970208
-0.880952,6,46.019843
-0.833333,8,46.084769
-0.809524,9,46.153932
-0.714286,13,46.25178
-0.857143,7,46.304735
-0.761905,11,46.384656
-0.809524,9,46.451956
-0.809524,9,46.518209
-0.857143,7,46.570015
-0.833333,8,46.632202
1.071429,4,46.658057
-0.761905,11,46.742629
-9.785714,10,46.937766
-0.809524,9,47.00407
-0.857143,7,47.055437
-0.880952,6,47.102707
-9.714286,13,47.198044
1.214286,10,47.2697
-9.809524,9,47.334059
-0.761905,11,47.416055
-0.809524,9,47.486162
-9.666667,15,47.592662
-0.880952,6,47.637605
-0.833333,8,47.697254
-0.833333,8,47.759247
-9.738095,12,47.844995
-0.738095,12,47.935956
-0.833333,8,47.995267
-0.785714,10,48.070397
-0.880952,6,48.114672
